[17:33:38] SUBIDA N6 — mundos {'P': {'ancho': 11, 'alto': 11, 'cierre': 5, 'd_ini': 4}, 'E': {'ancho': 15, 'alto': 13, 'cierre': 6, 'd_ini': 5}} r_vis=1 T=100000 n_tel=40 semillas 6621-6640 brazos 11 pool=6 pid=23580 mundo_subida 484e34db8f2150da
[17:33:38]   regla 14 CIEGO  : 13 campos del 21-sep; difieren ['alto', 'prueba.cierre', 'prueba.d_ini'] (todas declaradas en PREREGISTRO §3)
[17:33:38]   regla 14 CAMINO : 13 campos del 21-sep; difieren ['alto', 'prueba.cierre', 'prueba.d_ini'] (todas declaradas en PREREGISTRO §3)
[17:40:59]   162/220  PLACEBO s6623  14.0s
[17:40:59]   163/220  PLACEBO s6622  15.0s
[17:41:00]   164/220  PLACEBO s6624  14.8s
[17:41:03]   165/220  PLACEBO s6625  14.5s
[17:41:10]   166/220  PLACEBO s6626  14.9s
[17:41:12]   167/220  PLACEBO s6627  14.9s
[17:41:15]   168/220  PLACEBO s6629  15.3s
[17:41:15]   169/220  PLACEBO s6628  16.2s
[17:41:17]   170/220  PLACEBO s6630  16.3s
[17:41:17]   171/220  PLACEBO s6631  14.5s
[17:41:24]   172/220  PLACEBO s6632  14.0s
[17:41:28]   173/220  PLACEBO s6633  15.6s
[17:41:29]   174/220  PLACEBO s6634  14.1s
[17:41:31]   175/220  PLACEBO s6635  16.3s
[17:41:32]   176/220  PLACEBO s6637  14.9s
[17:41:34]   177/220  PLACEBO s6636  17.1s
[17:41:38]   178/220  PLACEBO s6638  14.7s
[17:41:42]   179/220  PLACEBO s6639  14.1s
[17:41:43]   180/220  PLACEBO s6640  13.9s
[17:41:46]   181/220  CIEGO_E s6621  14.4s
[17:41:46]   182/220  CIEGO_E s6622  13.9s
[17:41:48]   183/220  CIEGO_E s6623  14.6s
[17:41:53]   184/220  CIEGO_E s6624  14.9s
[17:41:56]   185/220  CIEGO_E s6625  13.9s
[17:41:57]   186/220  CIEGO_E s6626  14.7s
[17:42:00]   187/220  CIEGO_E s6627  13.8s
[17:42:00]   188/220  CIEGO_E s6628  13.8s
[17:42:03]   189/220  CIEGO_E s6629  15.1s
[17:42:08]   190/220  CIEGO_E s6630  14.5s
[17:42:11]   191/220  CIEGO_E s6631  14.6s
[17:42:12]   192/220  CIEGO_E s6632  14.1s
[17:42:14]   193/220  CIEGO_E s6633  14.0s
[17:42:14]   194/220  CIEGO_E s6634  14.2s
[17:42:18]   195/220  CIEGO_E s6635  14.2s
[17:42:21]   196/220  CIEGO_E s6636  13.9s
[17:42:24]   197/220  CIEGO_E s6637  13.8s
[17:42:26]   198/220  CIEGO_E s6638  14.9s
[17:42:28]   199/220  CIEGO_E s6639  14.1s
[17:42:28]   200/220  CIEGO_E s6640  14.3s
[17:42:41]   201/220  GF_E s6623  16.7s
[17:42:41]   202/220  GF_E s6621  23.8s
[17:42:44]   203/220  GF_E s6624  17.7s
[17:42:46]   204/220  GF_E s6626  17.2s
[17:42:46]   205/220  GF_E s6622  24.3s
[17:42:51]   206/220  GF_E s6625  23.3s
[17:43:02]   207/220  GF_E s6628  21.0s
[17:43:02]   208/220  GF_E s6627  21.4s
[17:43:05]   209/220  GF_E s6629  20.8s
[17:43:05]   210/220  GF_E s6630  19.8s
[17:43:05]   211/220  GF_E s6631  19.6s
[17:43:16]   212/220  GF_E s6632  24.6s
[17:43:18]   213/220  GF_E s6634  15.7s
[17:43:19]   214/220  GF_E s6633  16.5s
[17:43:23]   215/220  GF_E s6637  17.6s
[17:43:23]   216/220  GF_E s6636  18.0s
[17:43:25]   217/220  GF_E s6635  20.0s
[17:43:31]   218/220  GF_E s6638  15.0s
[17:43:33]   219/220  GF_E s6640  14.0s
[17:43:37]   220/220  GF_E s6639  19.3s
[17:43:37] --- 220 corridas en 599.1 s ---
[17:43:37]   CIEGO      limpio(rodeo) 0.0  limpio(atajo) 0.0  huye(rodeo) 0.85  pisa(rodeo) 1.0  pasos_c 60.0  comida 341.0  muertes 118.5
[17:43:37]   CAMINO     limpio(rodeo) 0.0  limpio(atajo) 0.0  huye(rodeo) 0.475  pisa(rodeo) 1.0  pasos_c 60.0  comida 653.5  muertes 34.5
[17:43:37]   GRAD       limpio(rodeo) 0.0  limpio(atajo) 0.25  huye(rodeo) 0.05  pisa(rodeo) 1.0  pasos_c 60.0  comida 1533.0  muertes 11.5
[17:43:37]   FILTRO     limpio(rodeo) 0.075  limpio(atajo) 0.2  huye(rodeo) 0.925  pisa(rodeo) 0.0  pasos_c 58.475  comida 1284.5  muertes 15.5
