# fecha: 2026-09-15 11:52:29
# rama: 3T_temporal
# tag: PH3
# sha_mundo_temporal: 1f447657faf00ef8
# sha_corre_3T: 95ed871994fd44c5
# python: 3.14.2
# numpy: 2.4.3
# arms: ['C1', 'C2', 'C3', 'C3C']
# seeds: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]
# kwargs: {'T': 100000, 'nkmax': 90, 'wclip': 30.0}
# constantes: {'L': 40, 'NK': 30, 'NKMAX': 90, 'K': 3, 'R_VAL': {'comida': 1.0, 'veneno': -3.0, 'neutro': 0.0}, 'E_VAL': {'comida': 0.8, 'veneno': -0.4, 'neutro': 0.1}}
# segundos: 61.2
arm,seed,W_AA,W_AB,W_BA,W_BB,sep,Wp_AA,Wn_AA,Wp_AB,Wn_AB,solap_A,solap_B,solap_A_s0,solap_A_s1,solap_A_s2,solap_A_s3,solap_A_s4,rho_s0,rho_s1,rho_s2,rho_s3,rho_s4,rho_cod_s0,rho_cod_s1,rho_cod_s2,rho_cod_s3,rho_cod_s4,splits,celdas,t_pool,fracTemp_med,acc_q1,acc_q2,acc_q3,acc_q4,base_q1,base_q2,base_q3,base_q4,lift_q1,lift_q2,lift_q3,lift_q4,early_acc,early_base,early_lift,early_nbit,nAB_q1,nAB_q2,nAB_q3,nAB_q4,nAA_q1,nAA_q2,nAA_q3,nAA_q4,nB_q1,nB_q2,nB_q3,nB_q4,deaths,Rtot,E_fin
C2,2,-2.996,1.0,-0.0,0.0,3.996,0.0,2.996,1.203,0.203,0,1,0,0,0,0,0,0.4786,0.4786,0.4786,0.4786,0.4786,0.4816,0.4816,0.4816,0.4816,0.4816,0,30,,,0.8365,0.9324,0.9432,0.9357,0.54,0.5816,0.5679,0.5757,0.2965,0.3508,0.3753,0.36,0.8158,0.5312,0.2845,160,174,207,166,160,34,15,10,11,242,311,229,232,97,497.0,0.472
C2,3,-2.997,1.0,-0.0,0.0,3.997,0.0,2.997,1.143,0.143,0,1,0,0,0,0,0,0.4695,0.4695,0.4695,0.4695,0.4695,0.5019,0.5019,0.5019,0.5019,0.5019,0,30,,,0.8186,0.8081,0.9497,0.9187,0.5717,0.5263,0.5608,0.5714,0.2469,0.2818,0.3889,0.3473,0.7121,0.5752,0.137,153,167,80,151,113,37,19,8,10,270,110,203,164,106,289.0,0.34
C2,4,-2.99,1.0,-0.0,0.0,3.99,0.489,3.479,1.308,0.308,0,1,0,0,0,0,0,0.4883,0.4883,0.4883,0.4883,0.4883,0.4586,0.4586,0.4586,0.4586,0.4586,0,30,,,0.7872,0.8824,0.943,0.9127,0.513,0.5789,0.5853,0.5563,0.2742,0.3034,0.3577,0.3564,0.6949,0.4775,0.2174,111,148,120,149,115,40,16,9,11,196,187,223,158,116,304.0,0.392
C2,5,-2.997,1.0,0.0,0.0,3.997,0.0,2.997,1.8,0.8,0,3,0,0,0,0,0,0.4878,0.4878,0.4878,0.4878,0.4878,0.4796,0.4796,0.4796,0.4796,0.4796,0,30,,,0.799,0.9296,0.9189,0.9073,0.5427,0.5723,0.5854,0.6016,0.2563,0.3573,0.3335,0.3057,0.8519,0.5628,0.289,183,155,132,136,137,39,10,12,14,228,190,209,228,126,335.0,0.242
C2,6,-2.994,1.0,-0.001,0.0,3.994,0.354,3.349,1.946,0.946,0,1,0,0,0,0,0,0.5206,0.5206,0.5206,0.5206,0.5206,0.4861,0.4861,0.4861,0.4861,0.4861,0,30,,,0.8325,0.876,0.9404,0.8293,0.5702,0.5567,0.5661,0.5714,0.2623,0.3193,0.3743,0.2578,0.75,0.5411,0.2089,146,164,113,142,102,33,16,9,21,259,162,197,164,123,284.0,0.32
C2,7,-2.976,0.999,-0.001,0.006,3.975,0.937,3.913,3.292,2.293,0,2,0,0,0,0,0,0.5189,0.5189,0.5189,0.5189,0.5189,0.5025,0.5025,0.5025,0.5025,0.5025,0,30,,,0.799,0.8971,0.897,0.9187,0.5699,0.5848,0.5729,0.5887,0.2291,0.3122,0.3241,0.3301,0.7361,0.5671,0.169,164,163,122,148,147,41,14,17,13,268,194,219,229,104,325.0,1.496
C2,8,-2.991,1.0,-0.0,0.0,3.991,0.345,3.336,1.273,0.273,0,1,0,0,0,0,0,0.5014,0.5014,0.5014,0.5014,0.5014,0.4855,0.4855,0.4855,0.4855,0.4855,0,30,,,0.7957,0.8889,0.9247,0.8993,0.5443,0.533,0.5508,0.5615,0.2514,0.3559,0.3739,0.3378,0.6842,0.5556,0.1287,126,148,88,135,125,38,11,11,14,220,113,179,178,109,274.0,1.45
C2,9,-2.994,1.0,-0.0,0.0,3.994,0.428,3.422,1.0,0.0,0,1,0,0,0,0,0,0.4989,0.4989,0.4989,0.4989,0.4989,0.5053,0.5053,0.5053,0.5053,0.5053,0,30,,,0.8061,0.9255,0.8848,0.9052,0.5455,0.584,0.5791,0.6027,0.2607,0.3415,0.3058,0.3024,0.66,0.5463,0.1137,108,158,149,146,105,38,12,19,11,233,226,227,176,120,318.0,1.33
C2,10,-2.987,1.0,-0.0,0.0,3.987,0.427,3.414,1.0,0.0,0,1,0,0,0,0,0,0.527,0.527,0.527,0.527,0.527,0.4926,0.4926,0.4926,0.4926,0.4926,0,30,,,0.8252,0.8603,0.9375,0.9675,0.5591,0.5436,0.5859,0.5914,0.2661,0.3167,0.3516,0.3761,0.7794,0.5677,0.2117,155,170,117,165,119,36,19,11,4,259,162,249,178,110,361.0,0.594
C2,11,-2.989,1.0,-0.0,-0.0,3.989,0.419,3.408,1.061,0.061,0,2,0,0,0,0,0,0.5486,0.5486,0.5486,0.5486,0.5486,0.4859,0.4859,0.4859,0.4859,0.4859,0,30,,,0.7633,0.913,0.9389,0.9535,0.5346,0.5647,0.5642,0.5784,0.2287,0.3484,0.3747,0.3751,0.7619,0.5585,0.2034,188,129,126,169,164,40,12,11,8,192,179,233,236,121,375.0,0.536
