# fecha: 2026-09-15 11:47:13
# rama: 3T_temporal
# tag: 3T
# sha_mundo_temporal: 1f447657faf00ef8
# sha_corre_3T: 95ed871994fd44c5
# python: 3.14.2
# numpy: 2.4.3
# arms: ['C1', 'C1p', 'C2', 'C2b', 'C3', 'C3C']
# seeds: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]
# kwargs: {'T': 100000}
# constantes: {'L': 40, 'NK': 30, 'NKMAX': 90, 'K': 3, 'R_VAL': {'comida': 1.0, 'veneno': -3.0, 'neutro': 0.0}, 'E_VAL': {'comida': 0.8, 'veneno': -0.4, 'neutro': 0.1}}
# segundos: 128.7
arm,seed,W_AA,W_AB,W_BA,W_BB,sep,Wp_AA,Wn_AA,Wp_AB,Wn_AB,solap_A,solap_B,solap_A_s0,solap_A_s1,solap_A_s2,solap_A_s3,solap_A_s4,rho_s0,rho_s1,rho_s2,rho_s3,rho_s4,rho_cod_s0,rho_cod_s1,rho_cod_s2,rho_cod_s3,rho_cod_s4,splits,celdas,t_pool,fracTemp_med,acc_q1,acc_q2,acc_q3,acc_q4,base_q1,base_q2,base_q3,base_q4,lift_q1,lift_q2,lift_q3,lift_q4,early_acc,early_base,early_lift,early_nbit,nAB_q1,nAB_q2,nAB_q3,nAB_q4,nAA_q1,nAA_q2,nAA_q3,nAA_q4,nB_q1,nB_q2,nB_q3,nB_q4,deaths,Rtot,E_fin
C1p,4,0.0,0.0,-0.0,-0.0,0.0,9.0,9.0,9.0,9.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,90,8986,0.0,0.4928,0.4892,0.527,0.5211,0.5025,0.5088,0.5096,0.5152,-0.0097,-0.0196,0.0174,0.0059,0.5093,0.536,-0.0267,347,582,612,674,630,599,639,605,579,1191,1296,1329,1287,203,-4768.0,1.028
C1p,5,0.0,0.0,-0.0,-0.0,0.0,9.0,9.0,9.0,9.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,90,10754,0.0,0.4757,0.4847,0.4969,0.494,0.4864,0.4912,0.5137,0.4941,-0.0107,-0.0066,-0.0168,-0.0001,0.4615,0.5032,-0.0416,157,558,648,643,654,615,689,651,670,1109,1291,1367,1295,274,-5372.0,1.46
C1p,6,0.0,0.0,-0.0,-0.0,0.0,9.0,9.0,9.0,9.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,90,9607,0.0,0.519,0.4929,0.5024,0.4896,0.5089,0.4912,0.5052,0.4978,0.0101,0.0016,-0.0028,-0.0082,0.5573,0.5648,-0.0075,301,600,659,624,657,556,678,618,685,1198,1291,1266,1330,232,-5071.0,1.07
C1p,7,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,90,11518,0.0,0.4838,0.4888,0.502,0.5011,0.4885,0.4899,0.5056,0.5021,-0.0047,-0.0011,-0.0036,-0.0009,0.5067,0.513,-0.0063,154,536,679,643,657,572,710,638,654,1058,1332,1310,1322,244,-5207.0,1.498
C1p,8,0.0,0.0,-0.0,-0.0,0.0,9.0,9.0,9.0,9.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,90,11606,0.0,0.4967,0.5233,0.5051,0.5012,0.4993,0.519,0.4983,0.5109,-0.0026,0.0042,0.0068,-0.0096,0.4557,0.5353,-0.0796,170,533,674,688,609,540,614,674,606,1070,1390,1353,1267,203,-4798.0,0.554
C1p,9,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,90,9151,0.0,0.4884,0.498,0.4829,0.4949,0.5063,0.513,0.4948,0.505,-0.0179,-0.0149,-0.0119,-0.0101,0.4867,0.535,-0.0483,243,592,635,608,632,620,640,651,645,1241,1343,1233,1305,227,-5201.0,1.474
C1p,10,0.0,0.0,-0.0,-0.0,0.0,9.0,9.0,9.0,9.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,90,11770,0.0,0.4927,0.4861,0.5028,0.485,0.4936,0.4913,0.501,0.4892,-0.0009,-0.0052,0.0018,-0.0042,0.4595,0.5226,-0.0631,155,506,680,634,632,521,719,627,671,999,1353,1264,1248,251,-5162.0,0.648
C1p,11,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,90,11679,0.0,0.4847,0.5008,0.4933,0.4964,0.4852,0.5034,0.4955,0.4986,-0.0005,-0.0027,-0.0021,-0.0022,0.5,0.4777,0.0223,157,540,652,630,626,574,650,647,635,1050,1318,1254,1256,237,-5070.0,1.416
C1p,12,0.0,0.0,-0.0,-0.0,0.0,9.0,9.0,9.0,9.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,90,9611,0.0,0.4942,0.5036,0.5131,0.4959,0.4952,0.5006,0.511,0.5111,-0.001,0.003,0.002,-0.0152,0.5263,0.5502,-0.0239,209,601,635,648,603,615,626,615,613,1191,1266,1320,1271,222,-4920.0,1.49
C1p,13,0.0,0.0,-0.0,-0.0,0.0,9.0,9.0,9.0,9.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,90,13035,0.0,0.4954,0.5122,0.5078,0.5032,0.5037,0.5079,0.4989,0.4855,-0.0083,0.0042,0.0089,0.0177,0.4576,0.5433,-0.0857,127,538,653,682,714,548,622,661,705,1100,1316,1337,1341,212,-5021.0,0.318
