[15:39:35] [54/100] SIN_TRAGAR s22011: persiste 1 (vivos 3) · prev_post 0.0 · D None · err60 None (269.9 s; 4163 s)
[15:42:13] [55/100] AZAR_S s22011: persiste 0 (vivos 0) · prev_post 0.251984 · D -0.008376 · err60 None (221.9 s; 4321 s)
[15:42:37] [56/100] VIDA_S s22012: persiste 0 (vivos 0) · prev_post 0.532967 · D 0.645128 · err60 None (224.3 s; 4345 s)
[15:43:07] [57/100] INERTE s22012: persiste 0 (vivos 0) · prev_post 0.668597 · D 0.009742 · err60 None (211.0 s; 4374 s)
[15:45:40] [58/100] BARAJADO s22012: persiste 0 (vivos 0) · prev_post 0.314268 · D 0.010387 · err60 None (206.0 s; 4527 s)
[15:46:06] [59/100] SIN_TRAGAR s22012: persiste 0 (vivos 0) · prev_post 0.0 · D None · err60 None (208.3 s; 4553 s)
[15:46:45] [60/100] AZAR_S s22012: persiste 0 (vivos 0) · prev_post 0.627551 · D -0.0051 · err60 None (218.5 s; 4592 s)
[16:09:50] ENDO endo_serie_s22001-22020 · T 120000 · corte 60000 · mundo {'esc': 30, 'n0': 30, 'tope': 3000, 'muestra': 1000} · brazos ('VIDA_S', 'INERTE', 'BARAJADO', 'SIN_TRAGAR', 'AZAR_S') · pool 3 · shas {'corre_endo.py': '078734369e9721c5', 'motor_endo.py': '7e10329cf0cb9fd0', 'simbiontes.py': '72f8829defe3e69f', 'FABRICA_SIMB.py': '38ac0ddba8829c88', 'construye_endo.py': '750c9ced2c3d7631', 'identidad_endosimbiosis.py': '42f458cbbfbe3bc8', 'PREREGISTRO_endosimbiosis.md': '9e2b2dad50ebd414', 'motor_eco3.py': '2eec9830792d9822', 'corre_eco.py': '47d9cee4d6462116'}
[16:09:51] [1/100] BARAJADO s22001: persiste 0 (vivos 0) · prev_post 0.467583 · D 0.0019 · err60 None (180.4 s; 0 s)
[16:09:51] [2/100] INERTE s22001: persiste 0 (vivos 0) · prev_post 0.765808 · D 0.099415 · err60 None (195.3 s; 0 s)
[16:09:51] [3/100] VIDA_S s22001: persiste 0 (vivos 0) · prev_post 0.632362 · D -0.00832 · err60 None (180.0 s; 0 s)
[16:09:51] [4/100] SIN_TRAGAR s22001: persiste 0 (vivos 0) · prev_post 0.0 · D None · err60 None (167.6 s; 0 s)
[16:09:51] [5/100] AZAR_S s22001: persiste 0 (vivos 0) · prev_post 0.300831 · D -0.001192 · err60 None (164.6 s; 0 s)
[16:09:51] [6/100] VIDA_S s22002: persiste 0 (vivos 0) · prev_post 0.745378 · D 0.94017 · err60 None (174.9 s; 0 s)
[16:09:51] [7/100] BARAJADO s22002: persiste 0 (vivos 0) · prev_post 0.06684 · D 0.011129 · err60 None (169.7 s; 0 s)
[16:09:51] [8/100] INERTE s22002: persiste 0 (vivos 0) · prev_post 0.667649 · D 0.001527 · err60 None (189.8 s; 0 s)
[16:09:51] [9/100] SIN_TRAGAR s22002: persiste 0 (vivos 0) · prev_post 0.0 · D None · err60 None (193.8 s; 0 s)
[16:09:51] [10/100] AZAR_S s22002: persiste 0 (vivos 0) · prev_post 0.181187 · D -0.02364 · err60 None (183.1 s; 0 s)
[16:09:51] [11/100] VIDA_S s22003: persiste 0 (vivos 0) · prev_post 0.59127 · D -0.001143 · err60 None (195.0 s; 0 s)
[16:09:51] [12/100] INERTE s22003: persiste 0 (vivos 0) · prev_post 0.636429 · D 0.00668 · err60 None (194.3 s; 0 s)
[16:09:51] [13/100] BARAJADO s22003: persiste 0 (vivos 0) · prev_post 0.33027 · D -0.007025 · err60 None (194.7 s; 0 s)
[16:09:51] [14/100] SIN_TRAGAR s22003: persiste 1 (vivos 4) · prev_post 0.0 · D None · err60 None (253.1 s; 0 s)
[16:09:51] [15/100] AZAR_S s22003: persiste 0 (vivos 0) · prev_post 0.544563 · D -0.019912 · err60 None (212.1 s; 0 s)
[16:09:51] [16/100] VIDA_S s22004: persiste 0 (vivos 0) · prev_post 0.164706 · D 0.067779 · err60 None (197.5 s; 0 s)
[16:09:51] [17/100] INERTE s22004: persiste 0 (vivos 0) · prev_post 0.621895 · D 0.002588 · err60 None (234.8 s; 0 s)
[16:09:51] [18/100] BARAJADO s22004: persiste 0 (vivos 0) · prev_post 0.232067 · D -0.004607 · err60 None (190.9 s; 0 s)
[16:09:51] [19/100] SIN_TRAGAR s22004: persiste 1 (vivos 4) · prev_post 0.0 · D None · err60 None (278.9 s; 0 s)
[16:09:51] [20/100] VIDA_S s22005: persiste 0 (vivos 0) · prev_post 0.177419 · D 0.164558 · err60 None (238.1 s; 1 s)
[16:09:51] [21/100] AZAR_S s22004: persiste 0 (vivos 0) · prev_post 0.198864 · D 0.001132 · err60 None (232.2 s; 1 s)
[16:09:51] [22/100] INERTE s22005: persiste 1 (vivos 2) · prev_post 0.808441 · D 0.020312 · err60 None (278.0 s; 1 s)
[16:09:51] [23/100] BARAJADO s22005: persiste 0 (vivos 0) · prev_post 0.476906 · D -0.035733 · err60 None (261.8 s; 1 s)
[16:09:51] [24/100] SIN_TRAGAR s22005: persiste 0 (vivos 0) · prev_post 0.0 · D None · err60 None (281.4 s; 1 s)
[16:09:51] [25/100] AZAR_S s22005: persiste 0 (vivos 0) · prev_post 0.577172 · D -0.001735 · err60 None (237.0 s; 1 s)
[16:09:51] [26/100] INERTE s22006: persiste 0 (vivos 0) · prev_post 0.810516 · D 0.006142 · err60 None (271.6 s; 1 s)
[16:09:51] [27/100] BARAJADO s22006: persiste 0 (vivos 0) · prev_post 0.429468 · D -0.007238 · err60 None (241.2 s; 1 s)
[16:09:51] [28/100] SIN_TRAGAR s22006: persiste 1 (vivos 5) · prev_post 0.0 · D None · err60 None (262.0 s; 1 s)
[16:09:51] [29/100] AZAR_S s22006: persiste 0 (vivos 0) · prev_post 0.557087 · D 0.007032 · err60 None (220.2 s; 1 s)
[16:09:51] [30/100] VIDA_S s22006: persiste 0 (vivos 0) · prev_post 0.535981 · D -0.025196 · err60 None (268.1 s; 1 s)
[16:09:51] [31/100] VIDA_S s22007: persiste 0 (vivos 0) · prev_post 0.453676 · D -0.002892 · err60 None (228.3 s; 1 s)
[16:09:51] [32/100] BARAJADO s22007: persiste 0 (vivos 0) · prev_post 0.078495 · D 0.008708 · err60 None (222.8 s; 1 s)
[16:09:51] [33/100] INERTE s22007: persiste 0 (vivos 0) · prev_post 0.730673 · D -0.019298 · err60 None (252.3 s; 1 s)
