[14:12:31] F1 FRIO frio_serie_s35001-35020 · T 1000000 · brazos {'RES0_FRIO': ('MUT0', 'FAMB_RES0_ECO', 1), 'RES0_10k': ('MUT0', 'FAMB_RES0_ECO', 10000), 'RES0_60k': ('MUT0', 'FAMB_RES0_ECO', 60000), 'BAR0_FRIO': ('MUT0', 'BAR0_ECO', 1), 'FAB_FRIO': ('MUT0', 'FABRICA_ECO', 1)} · pool 6 · motor GEMELO motor_frio_rapido · shas {'corre_frio.py': '3ba8b0f5cf1fbbfa', 'construye_frio.py': '5dec635e6ffe55d4', 'motor_frio_rapido.py': 'ff9d890a5cce9dec', 'carros/BAR0_ECO.py': 'a4b899611bd71197', 'PREREGISTRO_frio.md': '43129620e9e22479', 'juaco_eco/corre_eco_v12.py': '1340d268e1fd93d8', 'juaco_eco/corre_eco.py': '47d9cee4d6462116', 'juaco_eco/motor_eco.py': 'bca3033878b59622', 'juaco_eco/motor_eco_rapido_fam.py': 'd1f16769a53bb51c', 'juaco_eco/carros/FAMB_RES0_ECO.py': '94ea78589bc2ce24', 'juaco_eco/carros/FABRICA_ECO.py': 'f1163009cb5193a2'}
[14:17:51] [40/100] RES0_10k s35020: persiste 1 (vivos 34) · t_ext None · refundados 3149 · r0_nac 0.9952 · max_vivos 229 · aborto None (43.1 s; 320 s)
[14:18:00] [41/100] RES0_FRIO s35001: persiste 1 (vivos 28) · t_ext None · refundados 0 · r0_nac 1.0001 · max_vivos 90 · aborto None (39.3 s; 329 s)
[14:18:01] [42/100] RES0_FRIO s35002: persiste 1 (vivos 26) · t_ext None · refundados 0 · r0_nac 0.9993 · max_vivos 90 · aborto None (39.0 s; 330 s)
[14:18:29] [43/100] RES0_FRIO s35004: persiste 1 (vivos 26) · t_ext None · refundados 0 · r0_nac 1.0003 · max_vivos 90 · aborto None (38.3 s; 358 s)
[14:18:30] [44/100] RES0_FRIO s35005: persiste 1 (vivos 32) · t_ext None · refundados 0 · r0_nac 0.9999 · max_vivos 90 · aborto None (38.8 s; 359 s)
[14:18:30] [45/100] RES0_FRIO s35003: persiste 1 (vivos 33) · t_ext None · refundados 0 · r0_nac 1.0002 · max_vivos 90 · aborto None (39.3 s; 359 s)
[14:18:30] [46/100] RES0_FRIO s35006: persiste 1 (vivos 35) · t_ext None · refundados 0 · r0_nac 1.0003 · max_vivos 90 · aborto None (39.1 s; 359 s)
[14:18:39] [47/100] RES0_FRIO s35007: persiste 1 (vivos 37) · t_ext None · refundados 0 · r0_nac 0.9996 · max_vivos 90 · aborto None (38.5 s; 368 s)
[14:18:40] [48/100] RES0_FRIO s35008: persiste 1 (vivos 35) · t_ext None · refundados 0 · r0_nac 1.0002 · max_vivos 90 · aborto None (39.1 s; 369 s)
[14:19:06] [49/100] RES0_FRIO s35011: persiste 1 (vivos 33) · t_ext None · refundados 0 · r0_nac 0.999 · max_vivos 90 · aborto None (35.8 s; 395 s)
[14:19:06] [50/100] RES0_FRIO s35009: persiste 1 (vivos 30) · t_ext None · refundados 0 · r0_nac 1.0 · max_vivos 90 · aborto None (36.5 s; 395 s)
[14:19:06] [51/100] RES0_FRIO s35012: persiste 1 (vivos 30) · t_ext None · refundados 0 · r0_nac 0.9996 · max_vivos 90 · aborto None (36.0 s; 395 s)
[14:19:07] [52/100] RES0_FRIO s35010: persiste 1 (vivos 26) · t_ext None · refundados 0 · r0_nac 1.0007 · max_vivos 90 · aborto None (36.8 s; 396 s)
[14:19:14] [53/100] RES0_FRIO s35013: persiste 1 (vivos 28) · t_ext None · refundados 0 · r0_nac 1.0002 · max_vivos 90 · aborto None (34.9 s; 403 s)
[14:19:15] [54/100] RES0_FRIO s35014: persiste 1 (vivos 30) · t_ext None · refundados 0 · r0_nac 1.0001 · max_vivos 90 · aborto None (34.7 s; 404 s)
[14:19:41] [55/100] RES0_FRIO s35015: persiste 1 (vivos 31) · t_ext None · refundados 0 · r0_nac 1.0005 · max_vivos 90 · aborto None (34.8 s; 430 s)
[14:19:41] [56/100] BAR0_FRIO s35001: persiste 0 (vivos 0) · t_ext 8075 · refundados 0 · r0_nac None · max_vivos 90 · aborto None (0.2 s; 430 s)
[14:19:41] [57/100] RES0_FRIO s35017: persiste 1 (vivos 31) · t_ext None · refundados 0 · r0_nac 0.9991 · max_vivos 90 · aborto None (34.6 s; 430 s)
[14:19:41] [58/100] RES0_FRIO s35016: persiste 1 (vivos 32) · t_ext None · refundados 0 · r0_nac 1.0002 · max_vivos 90 · aborto None (35.2 s; 430 s)
[14:19:41] [59/100] BAR0_FRIO s35004: persiste 0 (vivos 0) · t_ext 8303 · refundados 0 · r0_nac None · max_vivos 90 · aborto None (0.2 s; 430 s)
[14:19:42] [60/100] RES0_FRIO s35018: persiste 1 (vivos 39) · t_ext None · refundados 0 · r0_nac 0.9999 · max_vivos 90 · aborto None (35.0 s; 431 s)
