cond,seed,mordB_q1,mordB_q2,mordB_q3,mordB_q4,WbB_q1,WbB_q2,WbB_q3,WbB_q4,WbA_pre,WbA_post,WbB_pre,WbB_post,muertes,tA,tB,extingue,comeB_post,hambre_1as_B,comida_q3,veneno_q3,comida_q4,veneno_q4
2F,3,17,2,3,2,-4.57,-4.57,-4.48,-4.48,8.46,0.0,-4.57,-4.48,288,,,0,1,"[0.89, 0.5, 0.68]",3,62,2,91
2F,4,18,2,2,1,-4.3,-4.84,-4.84,-4.84,8.46,0.0,-4.84,-4.84,305,,,0,1,"[0.43, 0.84, 0.57]",2,72,1,83
2F,5,18,4,1,2,-4.31,-5.12,-5.12,-5.12,8.19,0.0,-5.12,-5.12,312,,,0,1,"[0.53, 0.87, 0.42]",1,78,2,74
2F,6,20,3,2,0,-4.74,-4.74,-4.74,-4.74,7.65,0.0,-4.74,-4.74,305,,,0,1,"[0.9, 0.51]",2,78,0,76
2F,7,20,0,6,404,-4.29,-4.29,-3.84,3.4,7.92,0.0,-4.29,3.4,237,,39200,1,1,"[0.86, 0.52, 0.97]",6,58,404,413
2F,8,18,3,5,19,-4.14,-4.41,-3.96,-2.32,7.92,0.0,-4.41,-2.32,304,,,0,1,"[0.94, 0.79, 0.45]",5,95,19,82
2F,9,20,5,3,2,-4.29,-5.1,-5.01,-5.01,7.38,0.0,-5.1,-5.01,293,,,0,1,"[0.77, 0.91, 0.93]",3,68,2,60
2F,10,18,4,7,319,-4.32,-4.32,-3.86,4.68,7.38,0.0,-4.32,4.68,280,,42200,1,1,"[0.92, 0.93, 0.94]",7,88,319,352
2F,11,14,5,3,4,-3.67,-4.48,-4.39,-4.3,8.46,0.0,-4.48,-4.3,271,,,0,1,"[0.93, 0.85, 0.11]",3,59,4,54
2F,12,18,5,1,1,-4.57,-4.84,-4.84,-4.84,7.64,0.0,-4.84,-4.84,292,,,0,1,"[0.95, 0.43]",1,65,1,57
