esc,hb,seed,W_A,W_B,deaths,dq,mordB_q4,t_ext,veneno_2a,comida_2a
E2,2.0,20,-2.97,1.0,159,"[43, 50, 38, 28]",92,51435,53,189
E2,2.5,1,-3.0,1.0,156,"[42, 34, 39, 41]",76,52658,86,175
E2,2.5,2,-3.0,1.0,146,"[38, 38, 33, 37]",88,51986,82,212
E2,2.5,3,-2.99,1.0,138,"[36, 34, 33, 35]",103,52866,81,216
E2,2.5,4,-3.0,1.0,152,"[45, 38, 35, 34]",122,51638,84,238
E2,2.5,5,-3.0,1.0,126,"[30, 32, 31, 33]",97,51792,74,207
E2,2.5,6,-3.0,1.0,161,"[47, 42, 41, 31]",82,52009,75,177
E2,2.5,7,-3.0,1.0,168,"[46, 43, 40, 39]",100,52213,88,206
E2,2.5,8,-2.98,1.0,126,"[31, 35, 31, 29]",92,55284,82,208
E2,2.5,9,-3.0,1.0,152,"[39, 36, 42, 35]",82,51212,88,180
E2,2.5,10,-3.0,1.0,146,"[38, 35, 39, 34]",86,51746,80,193
E2,2.5,11,-3.0,1.0,141,"[36, 29, 37, 39]",89,51953,78,196
E2,2.5,12,-3.0,1.0,146,"[32, 41, 37, 36]",108,53086,80,208
E2,2.5,13,-3.0,1.0,164,"[58, 34, 34, 38]",82,51823,83,186
E2,2.5,14,-3.0,1.0,134,"[45, 27, 32, 30]",98,50588,75,248
E2,2.5,15,-2.99,1.0,139,"[45, 35, 30, 29]",95,52696,68,205
E2,2.5,16,-3.0,1.0,151,"[34, 36, 46, 35]",82,54209,92,158
E2,2.5,17,-2.99,1.0,134,"[38, 36, 24, 36]",84,53551,67,215
E2,2.5,18,-3.0,1.0,139,"[37, 30, 46, 26]",70,51478,89,179
E2,2.5,19,-3.0,1.0,160,"[38, 47, 34, 41]",79,52729,79,185
E2,2.5,20,-3.0,1.0,143,"[42, 35, 32, 34]",103,52070,84,207
E2,3.0,1,-3.0,1.0,169,"[39, 37, 46, 47]",78,52235,117,189
E2,3.0,2,-3.0,1.0,157,"[45, 38, 35, 39]",91,51657,100,225
E2,3.0,3,-3.0,1.0,152,"[32, 38, 41, 41]",81,51573,104,174
E2,3.0,4,-3.0,1.0,162,"[45, 46, 36, 35]",119,53539,96,248
E2,3.0,5,-3.0,1.0,155,"[50, 37, 35, 33]",99,51548,93,226
E2,3.0,6,-3.0,1.0,159,"[48, 40, 37, 34]",103,51608,106,233
E2,3.0,7,-3.0,1.0,150,"[34, 37, 41, 38]",122,51713,100,252
E2,3.0,8,-3.0,1.0,156,"[34, 40, 38, 44]",100,52626,111,219
E2,3.0,9,-3.0,1.0,149,"[38, 33, 43, 35]",98,52091,102,211
E2,3.0,10,-3.0,1.0,165,"[48, 41, 44, 32]",122,52371,105,226
E2,3.0,11,-3.0,1.0,142,"[36, 28, 37, 41]",82,51794,105,196
E2,3.0,12,-3.0,1.0,168,"[46, 34, 46, 42]",88,52234,118,183
E2,3.0,13,-3.0,1.0,141,"[34, 37, 37, 33]",109,51653,94,250
E2,3.0,14,-3.0,1.0,162,"[38, 40, 50, 34]",100,52057,109,212
E2,3.0,15,-3.0,1.0,164,"[39, 34, 43, 48]",92,51852,117,200
E2,3.0,16,-3.0,1.0,143,"[38, 36, 39, 30]",113,52461,94,244
E2,3.0,17,-3.0,1.0,158,"[47, 36, 40, 35]",102,51668,94,203
E2,3.0,18,-3.0,1.0,150,"[42, 27, 38, 43]",92,52710,111,210
E2,3.0,19,-3.0,1.0,169,"[46, 46, 42, 35]",111,50840,114,235
E2,3.0,20,-3.0,1.0,156,"[46, 37, 37, 36]",103,51290,99,230
