# fecha: 2026-09-15T11:47:23
# python: 3.14.2
# numpy: 2.4.3
# sha_v7i: 935c6e42c29d8e88
# sha_este: ccab60b8938fbe8c
# base_previa: parte1_umbral_20260915_113736.json
# NS: 20
# T: 100000
# theta: 0.6
# condiciones: {'REJ_AB1': "{'solap_AB': 1, 'forzar_KW': False}", 'REJ_AB2': "{'solap_AB': 2, 'forzar_KW': False}", 'REJ_AB3': "{'solap_AB': 3, 'forzar_KW': False}", 'D_comida_solB0_t0': "{'nuevo': 'D', 'nuevo_val': 'comida', 'solap_B': 0, 'nuevo_en': 0}", 'D_comida_solB1_t0': "{'nuevo': 'D', 'nuevo_val': 'comida', 'solap_B': 1, 'nuevo_en': 0}", 'D_comida_solB2_t0': "{'nuevo': 'D', 'nuevo_val': 'comida', 'solap_B': 2, 'nuevo_en': 0}"}
# concordancia: {'tp': 139, 'fp': 0, 'fn': 0, 'tn': 181, 'n': 320}
cond,seed,plast,solap_medido,splits,celdas,primer_split,estimulos_split,W_A,W_B,W_C,W_D,err_max,deaths
REJ_AB1,18,True,1,0,30,,,1.0,-3.0,0.0,0.0,0.5899,152
REJ_AB1,19,True,1,0,30,,,1.0,-2.99,-1.75,-1.75,0.5718,138
REJ_AB1,20,True,1,1,31,1905,A,1.0,-3.0,-0.59,-2.41,0.6006,158
REJ_AB1,1,False,1,0,30,,,1.0,-3.0,-0.5,-1.75,0.6114,166
REJ_AB1,2,False,1,0,30,,,1.0,-3.0,0.25,0.0,0.5769,142
REJ_AB1,3,False,1,0,30,,,1.0,-2.99,-1.25,-1.25,0.5824,157
REJ_AB1,4,False,1,0,30,,,1.0,-3.0,0.75,-0.5,0.6003,164
REJ_AB1,5,False,1,0,30,,,1.0,-2.99,-1.75,-1.25,0.598,149
REJ_AB1,6,False,1,0,30,,,1.0,-2.99,0.75,-1.75,0.606,144
REJ_AB1,7,False,1,0,30,,,1.0,-3.0,0.0,-2.5,0.6085,145
REJ_AB1,8,False,1,0,30,,,1.0,-3.0,0.0,-1.25,0.558,159
REJ_AB1,9,False,1,0,30,,,1.0,-3.0,0.75,-1.25,0.6049,145
REJ_AB1,10,False,1,0,30,,,1.0,-3.0,-1.25,-1.75,0.6096,166
REJ_AB1,11,False,1,0,30,,,1.0,-3.0,0.0,-1.25,0.5926,141
REJ_AB1,12,False,1,0,30,,,1.0,-2.99,0.0,0.0,0.5985,160
REJ_AB1,13,False,1,0,30,,,1.0,-2.99,0.0,-1.25,0.5385,140
REJ_AB1,14,False,1,0,30,,,1.0,-3.0,0.75,-1.25,0.598,150
REJ_AB1,15,False,1,0,30,,,1.0,-3.0,0.25,-0.5,0.6085,168
REJ_AB1,16,False,1,0,30,,,1.0,-3.0,1.5,0.75,0.5704,140
REJ_AB1,17,False,1,0,30,,,1.0,-3.0,-1.75,-1.25,0.5532,142
REJ_AB1,18,False,1,0,30,,,1.0,-3.0,0.0,0.0,0.5899,152
REJ_AB1,19,False,1,0,30,,,1.0,-2.99,-1.75,-1.75,0.5718,138
REJ_AB1,20,False,1,0,30,,,1.0,-3.0,-0.5,-1.75,0.6143,156
REJ_AB2,1,True,2,3,33,366,B,1.0,-3.0,-0.36,-3.0,0.6034,155
REJ_AB2,2,True,2,4,34,441,AB,1.0,-2.99,-1.3,-2.99,0.6114,158
REJ_AB2,3,True,2,3,33,360,B,1.0,-2.99,-1.92,-2.99,0.6188,144
REJ_AB2,4,True,2,3,33,1224,B,1.0,-2.97,-0.39,-0.79,0.6071,155
REJ_AB2,5,True,2,4,34,373,B,1.0,-2.99,-2.24,-2.99,0.6198,147
REJ_AB2,6,True,2,5,35,489,B,1.0,-3.0,-1.05,-3.0,0.6133,140
REJ_AB2,7,True,2,5,35,333,B,1.0,-3.0,-2.51,-3.0,0.6042,166
REJ_AB2,8,True,2,4,34,547,AB,1.0,-3.0,-1.5,-1.5,0.6085,165
REJ_AB2,9,True,2,5,35,822,AB,1.0,-3.0,-2.28,-3.0,0.6177,155
REJ_AB2,10,True,2,5,35,331,B,1.0,-3.0,-1.68,-3.0,0.6107,158
REJ_AB2,11,True,2,5,35,616,B,1.0,-2.99,-1.06,-3.8,0.6125,134
REJ_AB2,12,True,2,3,33,341,B,1.0,-2.97,1.39,-2.97,0.6149,147
REJ_AB2,13,True,2,3,33,437,B,0.99,-2.96,-2.18,-2.96,0.6094,142
