seed,patron,n_activos,nA,nB,W_obs,W_pred,residuo,W_pred_nominal,residuo_nominal,hamming_A,hamming_B,compartidos_A,compartidos_B,W_A_real,W_B_real,es_patron_nulo,code_X
2,011011,4,0,2,-1.9993993939,-1.9993993939,-2.22044604925e-16,-2,0.000600606095189,5,3,1,2,1,-2.99909909086,0,3 16 18
2,011100,3,2,0,0.666666666667,0.666666666667,1.11022302463e-16,0.666666666667,-6.28386231938e-14,2,4,2,1,1,-2.99909909086,0,2 6 14
2,011101,4,2,0,0.666666666667,0.666666666667,1.11022302463e-16,0.666666666667,-6.28386231938e-14,3,5,2,1,1,-2.99909909086,0,2 6 24
2,011110,4,1,0,0.333333333333,0.333333333333,5.55111512313e-17,0.333333333333,-3.14193115969e-14,3,3,2,2,1,-2.99909909086,0,2 3 23
2,011111,5,1,0,0.333333333333,0.333333333333,5.55111512313e-17,0.333333333333,-3.14193115969e-14,4,4,2,2,1,-2.99909909086,0,2 3 24
2,100000,1,0,0,0,0,0,0,0,2,2,1,1,1,-2.99909909086,0,12 19 25
2,100001,2,0,0,0,0,0,0,0,3,3,1,1,1,-2.99909909086,0,25 26 27
2,100010,2,0,3,-2.99909909086,-2.99909909086,0,-3,0.000900909142783,3,1,1,2,1,-2.99909909086,0,16 18 28
2,100011,3,0,2,-1.9993993939,-1.9993993939,-2.22044604925e-16,-2,0.000600606095189,4,2,1,2,1,-2.99909909086,0,10 16 18
2,100100,2,0,1,-0.999699696952,-0.999699696952,-1.11022302463e-16,-1,0.000300303047594,1,3,2,1,1,-2.99909909086,0,14 26 28
2,100101,3,0,0,0,0,0,0,0,2,4,2,1,1,-2.99909909086,0,25 26 29
2,100110,3,0,1,-0.999699696952,-0.999699696952,-1.11022302463e-16,-1,0.000300303047594,2,2,2,2,1,-2.99909909086,0,9 19 28
2,100111,4,0,2,-1.9993993939,-1.9993993939,-2.22044604925e-16,-2,0.000600606095189,3,3,2,2,1,-2.99909909086,0,18 26 28
2,101000,2,0,2,-1.9993993939,-1.9993993939,-2.22044604925e-16,-2,0.000600606095189,3,1,1,2,1,-2.99909909086,0,16 19 28
2,101001,3,0,2,-1.9993993939,-1.9993993939,-2.22044604925e-16,-2,0.000600606095189,4,2,1,2,1,-2.99909909086,0,16 18 26
2,101010,3,0,3,-2.99909909086,-2.99909909086,0,-3,0.000900909142783,4,0,1,3,1,-2.99909909086,0,16 18 28
2,101011,4,0,3,-2.99909909086,-2.99909909086,0,-3,0.000900909142783,5,1,1,3,1,-2.99909909086,0,16 18 28
2,101100,3,0,1,-0.999699696952,-0.999699696952,-1.11022302463e-16,-1,0.000300303047594,2,2,2,2,1,-2.99909909086,0,14 19 28
2,101101,4,0,1,-0.999699696952,-0.999699696952,-1.11022302463e-16,-1,0.000300303047594,3,3,2,2,1,-2.99909909086,0,14 26 28
2,101110,4,0,2,-1.9993993939,-1.9993993939,-2.22044604925e-16,-2,0.000600606095189,3,1,2,3,1,-2.99909909086,0,18 19 28
2,101111,5,0,2,-1.9993993939,-1.9993993939,-2.22044604925e-16,-2,0.000600606095189,4,2,2,3,1,-2.99909909086,0,18 26 28
2,110000,2,0,1,-0.999699696952,-0.999699696952,-1.11022302463e-16,-1,0.000300303047594,1,3,2,1,1,-2.99909909086,0,12 16 27
2,110001,3,0,1,-0.999699696952,-0.999699696952,-1.11022302463e-16,-1,0.000300303047594,2,4,2,1,1,-2.99909909086,0,10 16 27
2,110010,3,0,2,-1.9993993939,-1.9993993939,-2.22044604925e-16,-2,0.000600606095189,2,2,2,2,1,-2.99909909086,0,9 16 18
2,110011,4,0,2,-1.9993993939,-1.9993993939,-2.22044604925e-16,-2,0.000600606095189,3,3,2,2,1,-2.99909909086,0,10 16 18
2,110100,3,3,0,1,1,0,1,-9.43689570931e-14,0,4,3,1,1,-2.99909909086,0,1 2 6
2,110101,4,0,1,-0.999699696952,-0.999699696952,-1.11022302463e-16,-1,0.000300303047594,1,5,3,1,1,-2.99909909086,0,16 26 27
2,110110,4,0,2,-1.9993993939,-1.9993993939,-2.22044604925e-16,-2,0.000600606095189,1,3,3,2,1,-2.99909909086,0,9 16 18
2,110111,5,0,2,-1.9993993939,-1.9993993939,-2.22044604925e-16,-2,0.000600606095189,2,4,3,2,1,-2.99909909086,0,10 16 18
2,111000,3,0,2,-1.9993993939,-1.9993993939,-2.22044604925e-16,-2,0.000600606095189,2,2,2,2,1,-2.99909909086,0,4 16 18
2,111001,4,0,2,-1.9993993939,-1.9993993939,-2.22044604925e-16,-2,0.000600606095189,3,3,2,2,1,-2.99909909086,0,3 16 18
2,111010,4,0,2,-1.9993993939,-1.9993993939,-2.22044604925e-16,-2,0.000600606095189,3,1,2,3,1,-2.99909909086,0,9 16 18
2,111011,5,0,2,-1.9993993939,-1.9993993939,-2.22044604925e-16,-2,0.000600606095189,4,2,2,3,1,-2.99909909086,0,3 16 18
2,111100,4,1,1,-0.666366363619,-0.666366363619,-1.11022302463e-16,-0.666666666667,0.000300303047563,1,3,3,2,1,-2.99909909086,0,6 14 16
2,111101,5,0,2,-1.9993993939,-1.9993993939,-2.22044604925e-16,-2,0.000600606095189,2,4,3,2,1,-2.99909909086,0,16 18 26
