bloque,cond,plast,paso_t,lam,seed,t_techo,techo_primero,n_techo,deaths,mv_tot,mc_tot,splits,celdas,t_agot,err_max,Nstar,Mmax,W_A_fin,W_B_fin
C,C_T20,True,20000,0.05,18,242427,"('E14', 'Wn', 242427)",28,567,352,1412,25,55,,0.6616,5,10,,
C,C_T20,True,20000,0.05,19,,,0,582,644,1700,60,90,394670,0.6447,5,8,,
C,C_T20,True,20000,0.05,20,304912,"('E08', 'Wn', 304912)",30,579,587,1793,48,78,,0.6427,3,8,,
C,C_T60,True,60000,0.0,1,242409,"('E06', 'Wn', 242409)",18447,2047,8224,11603,60,90,447171,2.9914,5,4,,
C,C_T60,True,60000,0.0,2,250093,"('E06', 'Wn', 250093)",96006,4227,46346,50910,60,90,293296,3.0,5,5,,
C,C_T60,True,60000,0.0,3,292224,"('E06', 'Wn', 292224)",90724,4161,44010,48118,60,90,338126,3.0,5,5,,
C,C_T60,True,60000,0.0,4,269753,"('B', 'Wn', 269753)",96669,4332,46805,51269,60,90,278919,3.0,5,4,,
C,C_T60,True,60000,0.0,5,377615,"('E06', 'Wn', 377615)",44884,3027,21661,25206,60,90,482231,3.0,8,6,,
C,C_T60,True,60000,0.0,6,396311,"('C', 'Wn', 396311)",14531,1901,6982,10485,60,90,803266,2.9967,7,7,,
C,C_T60,True,60000,0.0,7,248604,"('B', 'Wn', 248604)",90848,4152,43763,48259,60,90,270611,3.0,4,3,,
C,C_T60,True,60000,0.0,8,245632,"('E06', 'Wn', 245632)",8906,1677,3308,6873,60,90,411544,3.0,5,4,,
C,C_T60,True,60000,0.0,9,387719,"('E06', 'Wn', 387719)",84117,4046,40976,45055,60,90,414044,3.0,7,5,,
C,C_T60,True,60000,0.0,10,294993,"('E06', 'Wn', 294993)",72326,3845,35102,38928,60,90,538874,3.0,9,7,,
C,C_T60,True,60000,0.0,11,157750,"('D', 'Wn', 157750)",16863,1940,7337,10799,60,90,407357,3.0,3,5,,
C,C_T60,True,60000,0.0,12,460850,"('E08', 'Wn', 460850)",61353,3415,29963,33724,60,90,630748,3.0,8,7,,
C,C_T60,True,60000,0.0,13,384358,"('E05', 'Wp', 384358)",13503,1943,6235,9905,60,90,805954,3.0,11,10,,
C,C_T60,True,60000,0.0,14,262542,"('E06', 'Wn', 262542)",82176,4071,41146,45391,60,90,399445,3.0,5,5,,
C,C_T60,True,60000,0.0,15,382681,"('E08', 'Wn', 382681)",69119,3630,33827,37437,60,90,542895,3.0,8,6,,
C,C_T60,True,60000,0.0,16,363846,"('C', 'Wp', 363846)",65022,3860,35303,38960,60,90,546909,3.0,8,6,,
C,C_T60,True,60000,0.0,17,348285,"('E07', 'Wp', 348285)",72555,3769,36428,40673,60,90,509956,3.0,9,8,,
C,C_T60,True,60000,0.0,18,206700,"('E05', 'Wp', 206700)",9287,1723,3421,7122,60,90,365864,3.0,5,5,,
C,C_T60,True,60000,0.0,19,256255,"('C', 'Wp', 256255)",14245,1914,6038,9615,60,90,393840,3.0,5,5,,
C,C_T60,True,60000,0.0,20,377480,"('E05', 'Wp', 377480)",38284,2972,18416,21787,60,90,767770,3.0,13,9,,
C,C_T60,True,60000,0.05,1,,,0,1633,1101,4480,60,90,979383,0.7614,12,12,,
C,C_T60,True,60000,0.05,2,,,0,1610,966,4525,50,80,,0.6387,7,17,,
C,C_T60,True,60000,0.05,3,621093,"('E06', 'Wn', 621093)",20,1617,1312,4645,60,90,898668,1.6893,5,15,,
C,C_T60,True,60000,0.05,4,,,0,1663,972,4410,60,90,1131085,1.2201,12,10,,
C,C_T60,True,60000,0.05,5,1029628,"('E14', 'Wn', 1029628)",31,1684,1020,4305,57,87,,0.6451,8,12,,
C,C_T60,True,60000,0.05,6,,,0,1611,1233,4751,60,90,1091869,1.8295,7,11,,
C,C_T60,True,60000,0.05,7,1128761,"('E16', 'Wn', 1128761)",11,1649,1082,4574,60,90,937220,0.7017,4,11,,
C,C_T60,True,60000,0.05,8,565185,"('E06', 'Wn', 565185)",71,1632,1067,4603,60,90,1068346,1.4389,5,11,,
C,C_T60,True,60000,0.05,9,,,0,1691,887,4107,45,75,,0.6495,7,14,,
C,C_T60,True,60000,0.05,10,749691,"('E06', 'Wn', 749691)",68,1630,1179,4639,60,90,1186077,0.6669,10,14,,
C,C_T60,True,60000,0.05,11,1189196,"('D', 'Wn', 1189196)",3,1741,896,4203,60,90,1110130,1.4319,3,12,,
C,C_T60,True,60000,0.05,12,1090451,"('E14', 'Wn', 1090451)",7,1628,1386,4910,60,90,777590,1.002,8,9,,
