"# procedencia: {""fecha"": ""2026-09-15T12:09:59"", ""rama"": ""3K_kenyon_aprendido"", ""T"": 200000, ""fase2_en"": 100000, ""semillas"": 20, ""python"": ""3.14.2"", ""numpy"": ""2.4.3"", ""plataforma"": ""Windows-11-10.0.26200-SP0"", ""sha256_16"": {""organismo_3k"": ""cb5a528d123056a7"", ""run_3k"": ""8fa9aa6b38c68942"", ""PREREGISTRO"": ""f303e55005fcdec1"", ""organismo_v6"": ""5f38f83cf49248a3""}, ""malla"": {""celdas"": [[""fijo"", 0.0], [""hebb_visita"", 0.003], [""hebb_visita"", 0.01], [""hebb_visita"", 0.03], [""hebb_mordida"", 0.003], [""hebb_mordida"", 0.01], [""hebb_mordida"", 0.03], [""error"", 0.003], [""error"", 0.01], [""error"", 0.03]], ""variantes"": [""congelado"", ""aprende""]}, ""mundo"": {""n_patrones"": 20, ""px_activos"": 3, ""px_relevante"": 0, ""tren"": 10, ""test"": 10, ""particion_rng"": ""default_rng(10000+seed)""}, ""segundos"": 709.205012}"
seed,modo,k_lr,variante,deaths,acc_signo,r_clase,r_solap,Wa_test_comida,Wa_test_veneno,Wa_tren_comida,Wa_tren_veneno,prec_test,tasa_test_comida,tasa_test_veneno,prec_test_q1,tasaC_test_q1,tasaV_test_q1,prec_test_q2,tasaC_test_q2,tasaV_test_q2,prec_test_q3,tasaC_test_q3,tasaV_test_q3,prec_test_q4,tasaC_test_q4,tasaV_test_q4,prec_tren,tasa_tren_comida,tasa_tren_veneno,prec_tren_f1,mord_comida,mord_veneno,ratio_disp,ratio_media,sel_clase,solap_intra,solap_inter,ratio_solap,celdas_usadas,uso_max,ratio_disp_f2,ratio_media_f2,sel_clase_f2,solap_intra_f2,solap_inter_f2,ratio_solap_f2,celdas_usadas_f2,uso_max_f2,deriva_kw
1,fijo,0.0,aprende,293,0.85,0.679499335150939,0.951409849907614,1.525843158835454,-0.07226051385072374,1.011599233406176,-2.7589490360354048,0.9487227551531583,0.9409648789748457,0.043519368668529256,0.8512654435606812,0.9277957336780867,0.22526484655672424,0.9341239641426047,0.925,0.05675207171479054,0.9638749601594465,0.9550000000000001,0.027250079681107188,0.9548741190862632,0.9442307692307692,0.03448253105824288,0.9887210470243941,0.9809183064997018,0.003476212450913417,0.9684624736751775,930,389,1.1719056793367177,1.0770761144272207,0.16,1.3444444444444446,1.1,1.2222222222222223,20,19,1.1719056793367177,1.0770761144272207,0.16,1.3444444444444446,1.1,1.2222222222222223,20,19,0.0
2,fijo,0.0,aprende,296,0.8,0.409302330154502,0.8719364522075012,0.4768108973412584,-0.6709867133976536,0.9501095892567039,-2.951883247680641,0.8158944127707752,0.8124313186813188,0.18064249313976818,0.7523630404805057,0.7385964912280701,0.23387041026705865,0.8088065525083239,0.8435714285714285,0.2259583235547807,0.8958943089430895,0.9700000000000001,0.17821138211382115,0.9026778777989901,0.9714285714285713,0.16607281583059103,0.9708430164489877,0.9442890442890443,0.0026030113910688185,0.9847306430171879,789,299,1.089325879854932,1.1114895019382307,0.16190476190476194,0.6444444444444445,0.53,1.2159329140461217,21,10,1.089325879854932,1.1114895019382307,0.16190476190476194,0.6444444444444445,0.53,1.2159329140461217,21,10,0.0
3,fijo,0.0,aprende,300,0.9,0.8361050047599019,0.7467185045495753,1.00375465126307,-0.5220870177085608,1.00375465126307,-2.619181539216106,0.9846038858401416,0.9838095238095239,0.014601752129240897,0.9673319624095464,0.9866666666666667,0.05200274184757396,0.982800001856477,0.9818181818181818,0.016218178105227805,0.9939198899617208,1.0,0.012160220076558637,0.9832428742210921,0.9714285714285713,0.004942822986387055,0.9971508794639785,1.0,0.00569824107204313,0.9379568393695606,816,373,1.0540447655741854,1.2075236965671654,0.19999999999999998,0.9333333333333333,0.73,1.2785388127853883,16,11,1.0540447655741854,1.2075236965671654,0.19999999999999998,0.9333333333333333,0.73,1.2785388127853883,16,11,0.0
4,fijo,0.0,aprende,300,0.65,0.3903558510896512,0.6333805104942402,0.0,-0.7266505879626172,0.9267933601428275,-2.5351746349711934,0.8517761026024571,0.8260549748354625,0.12250276963054851,0.7395611923096811,0.7735979292493529,0.2944755446299907,0.8206955847965935,0.7973333333333332,0.155942163740146,0.8731684971535427,0.8857142857142858,0.1393772914072003,0.8418665413583768,0.9111111111111111,0.22737802839435756,0.9438459164118234,0.9455092990358164,0.05781746621216964,0.9171051252161304,999,552,0.9952662638663577,0.978053190967051,0.1368421052631579,1.1666666666666667,1.09,1.070336391437309,19,17,0.9952662638663577,0.978053190967051,0.1368421052631579,1.1666666666666667,1.09,1.070336391437309,19,17,0.0
5,fijo,0.0,aprende,288,0.5,-0.06955490007172985,0.6997577361513443,0.042031393393003214,0.9594163061390012,0.9071422940636028,-2.6767192124376615,0.6565623386098358,0.6560220040007274,0.3428973267810557,0.6751926625954159,0.6005517682302198,0.25016644303938806,0.8095696615833916,0.84005994005994,0.22092061689315692,0.77162769387336,0.9764705882352942,0.43321520048857415,0.736904870069218,0.9748060313277704,0.5009962911893343,0.7318463250213343,0.8269135514359476,0.36322090139327906,0.8160705362676358,1444,926,0.9254037910059225,0.9627577463893238,0.1625,0.9777777777777777,0.86,1.1369509043927648,16,15,0.9254037910059225,0.9627577463893238,0.1625,0.9777777777777777,0.86,1.1369509043927648,16,15,0.0
6,fijo,0.0,aprende,295,0.55,0.006335709929619489,0.9078611936564256,-1.2618451412082348,-0.5793425819644151,1.0301084700293497,-2.663951134894609,0.8408828498020711,0.7066317290552585,0.024866029451116232,0.7458766214466852,0.5883333333333333,0.09658009043996268,0.9271588289427555,0.8828571428571429,0.028539484971631827,0.9750053277937973,0.9666666666666666,0.016656011079071966,0.9774267186793306,0.975,0.02014656264133876,0.990773848699535,0.9884868421052632,0.006939144706193115,0.9807604273651609,800,335,1.0603169034293325,0.9438916860592695,0.17777777777777778,0.5777777777777777,0.43,1.3436692506459946,18,6,1.0603169034293325,0.9438916860592695,0.17777777777777778,0.5777777777777777,0.43,1.3436692506459946,18,6,0.0
7,fijo,0.0,aprende,283,0.6,0.31195027021402794,0.840118272878347,-0.2174103568298913,-0.5611026525425042,0.880490024622604,-2.563797982250117,0.9440564552156723,0.9133266292024056,0.025213718771061145,0.8109282556209281,0.7672268907563025,0.14537037951444623,0.9727715482954375,0.9800000000000001,0.03445690340912508,0.978036691453132,0.9818181818181818,0.02574479891191777,0.9923847509663165,1.0,0.015230498067366963,0.9281823605777545,0.9066666666666666,0.05030194551115763,0.9619881828345029,909,372,0.9473274786707737,0.7262712901351707,0.13684210526315793,0.8333333333333334,0.71,1.1737089201877935,19,10,0.9473274786707737,0.7262712901351707,0.13684210526315793,0.8333333333333334,0.71,1.1737089201877935,19,10,0.0
8,fijo,0.0,aprende,278,0.5,0.2168409799623427,0.2240798593330403,-2.457193508935727,-2.457193508935727,0.8235842920310723,-2.4976448938522227,0.6562346090598954,0.33992483642704985,0.02745561830725904,0.5616870090366975,0.3325343973582829,0.2091603792848878,0.6457839738585626,0.3234366064195623,0.03186865870243721,0.645687573251468,0.320224358974359,0.028849212471423157,0.7237481264603258,0.4835753342763356,0.03607908135568399,0.9951350189302703,1.0,0.009729962139459166,0.9501357643203858,834,352,0.9179598118485959,1.3463726774420206,0.14666666666666667,0.8,0.74,1.0810810810810811,15,12,0.9179598118485959,1.3463726774420206,0.14666666666666667,0.8,0.74,1.0810810810810811,15,12,0.0
9,fijo,0.0,aprende,314,0.55,0.17488095925804872,0.9605006843012106,0.574434846944014,0.3240796872739272,0.9398805112887754,-2.611737263525121,0.8716800052831598,0.8050406270073662,0.06168061644104663,0.8716265375420442,0.7905211480362537,0.04726807295216525,0.878531019563429,0.7967024539877301,0.03964041486087204,0.8760425137579051,0.8952380952380953,0.14315306772228503,0.8084798790744397,0.9817805383022774,0.3648207801533979,0.7957217842066879,0.803170731707317,0.21172716329394112,0.8847446630482152,1235,770,1.0207441969051838,1.031366353382923,0.2,1.0222222222222221,0.81,1.2620027434842247,15,13,1.0207441969051838,1.031366353382923,0.2,1.0222222222222221,0.81,1.2620027434842247,15,13,0.0
10,fijo,0.0,aprende,289,0.8,0.6899705774073567,0.8940151607929706,0.26312387974794443,-2.222868104410362,0.9721960304374984,-2.7095998928397904,0.8894202641116578,0.7992332526230832,0.020392724399767588,0.8362359450645555,0.7152380952380952,0.04276620510898427,0.9542728837686132,0.9205128205128205,0.011967052975594005,0.9226042481148986,0.8596153846153847,0.01440688838558736,0.8975837383909484,0.8266666666666665,0.03149918988476982,0.9856897885687663,0.9897368421052631,0.01835726496773036,0.9319407742753208,848,317,0.9029639661454535,0.9218743142416189,0.22666666666666663,0.9777777777777777,0.6,1.6296296296296295,15,12,0.9029639661454535,0.9218743142416189,0.22666666666666663,0.9777777777777777,0.6,1.6296296296296295,15,12,0.0
